collision_id,crash_date,crash_time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code1,vehicle_type_code2
4456314,2021-09-11T00:00:00.000,9:35,BROOKLYN,11208.0,40.667202,-73.8665,,1211 LORING AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,Sedan,
4486609,2021-12-14T00:00:00.000,8:13,BROOKLYN,11233.0,40.683304,-73.917274,SARATOGA AVENUE,,DECATUR STREET,0,0,0,0,0,0,0,0,,,,
4486555,2021-12-14T00:00:00.000,17:05,,,40.709183,-73.956825,BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Sedan,Tractor Truck Diesel
4486660,2021-12-14T00:00:00.000,8:17,BRONX,10475.0,40.86816,-73.83148,,344 BAYCHESTER AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Sedan,Sedan
4487074,2021-12-14T00:00:00.000,21:10,BROOKLYN,11207.0,40.67172,-73.8971,,2047 PITKIN AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Sedan,
4486519,2021-12-14T00:00:00.000,14:58,MANHATTAN,10017.0,40.75144,-73.97397,3 AVENUE,,EAST 43 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4486934,2021-12-13T00:00:00.000,0:34,,,40.701275,-73.88887,MYRTLE AVENUE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Station Wagon/Sport Utility Vehicle,
4487127,2021-12-14T00:00:00.000,16:50,QUEENS,11413.0,40.675884,-73.75577,SPRINGFIELD BOULEVARD,,EAST GATE PLAZA,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4486564,2021-12-14T00:00:00.000,0:59,,,40.59662,-74.00231,BELT PARKWAY,,,0,0,0,0,0,0,0,0,Unsafe Speed,,Sedan,
4486635,2021-12-14T00:00:00.000,23:10,QUEENS,11434.0,40.66684,-73.78941,NORTH CONDUIT AVENUE,,150 STREET,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,Sedan,Sedan
4486604,2021-12-14T00:00:00.000,17:58,BROOKLYN,11217.0,40.68158,-73.97463,,480 DEAN STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Tanker,Station Wagon/Sport Utility Vehicle
4486991,2021-12-14T00:00:00.000,20:03,BROOKLYN,11226.0,40.65068,-73.95881,,878 FLATBUSH AVENUE,,4,0,0,0,0,0,4,0,Steering Failure,,Sedan,
4487040,2021-12-11T00:00:00.000,19:43,BRONX,10463.0,40.87262,-73.904686,WEST KINGSBRIDGE ROAD,,HEATH AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan
4486537,2021-12-14T00:00:00.000,14:30,,,40.783268,-73.82485,WHITESTONE EXPRESSWAY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan
4486905,2021-12-11T00:00:00.000,4:45,MANHATTAN,10001.0,40.748917,-73.993546,,232 WEST 30 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,
4487122,2021-12-14T00:00:00.000,5:46,,,40.744644,-73.77041,LONG ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4486967,2021-12-13T00:00:00.000,6:30,QUEENS,11372.0,40.75373,-73.88505,82 STREET,,34 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,Sedan,
4486304,2021-12-14T00:00:00.000,3:43,,,40.804375,-73.93742,LEXINGTON AVENUE,,,1,0,1,0,0,0,0,0,Unspecified,,Station Wagon/Sport Utility Vehicle,
4487001,2021-12-13T00:00:00.000,17:40,STATEN ISLAND,10301.0,40.63165,-74.08762,VICTORY BOULEVARD,,WOODSTOCK AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Sedan,Sedan
4486516,2021-12-14T00:00:00.000,17:31,BROOKLYN,11230.0,40.623104,-73.95809,EAST 18 STREET,,AVENUE K,1,0,1,0,0,0,0,0,Unspecified,,Sedan,
4486605,2021-12-14T00:00:00.000,20:13,BROOKLYN,11215.0,40.66576,-73.9845,,366 12 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Sedan,
4487052,2021-12-14T00:00:00.000,12:54,BROOKLYN,11217.0,40.687534,-73.9775,FULTON STREET,,SAINT FELIX STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Sedan,Bike
4486556,2021-12-14T00:00:00.000,17:15,BROOKLYN,11211.0,40.710957,-73.951126,GRAND STREET,,UNION AVENUE,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,Bus,Station Wagon/Sport Utility Vehicle
4486875,2021-12-14T00:00:00.000,22:49,BRONX,10455.0,40.81813,-73.910126,,713 EAGLE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Taxi,
4486933,2021-12-12T00:00:00.000,9:00,QUEENS,11385.0,40.70447,-73.90148,,59-14 67 AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,
4486581,2021-12-14T00:00:00.000,16:25,,,40.784615,-73.953964,EAST 93 STREET,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Van,Bike
4545699,2022-07-12T00:00:00.000,17:50,BROOKLYN,11225.0,40.663303,-73.96049,,44 EMPIRE BOULEVARD,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,Sedan,
4456659,2021-07-09T00:00:00.000,0:43,,,40.720535,-73.88885,ELIOT AVENUE,,,0,1,0,1,0,0,0,0,Unspecified,,Bus,
4521660,2022-04-24T00:00:00.000,16:45,,,40.607685,-74.13892,STATEN ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4521759,2022-04-24T00:00:00.000,4:49,,,40.855972,-73.869896,BOSTON ROAD,,BRONX PARK EAST,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan
4522226,2022-04-22T00:00:00.000,17:17,,,40.790276,-73.9396,EAST 107 STREET,,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,E-Bike,
4522015,2022-04-24T00:00:00.000,1:30,BROOKLYN,11220.0,40.642986,-74.01621,,5610 4 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,Station Wagon/Sport Utility Vehicle,
4521460,2022-04-24T00:00:00.000,6:00,QUEENS,11411.0,0.0,0.0,,116-44 234 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4522156,2022-04-24T00:00:00.000,21:40,BRONX,10452.0,40.843906,-73.92413,BOSCOBEL PLACE,,UNIVERSITY AVENUE,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Taxi,Station Wagon/Sport Utility Vehicle
4521633,2022-04-24T00:00:00.000,17:45,BRONX,10466.0,40.89481,-73.86183,BRONX RIVER PARKWAY,,EAST 233 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,
4522124,2022-04-15T00:00:00.000,6:11,,,0.0,0.0,EAST 162 STREET,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,E-Scooter
4521937,2022-04-24T00:00:00.000,9:51,,,40.85169,-73.95238,CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,
4521801,2022-04-24T00:00:00.000,0:00,BRONX,10453.0,40.861862,-73.91275,MAJOR DEEGAN EXPRESSWAY,,WEST FORDHAM ROAD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,
4522285,2022-03-08T00:00:00.000,20:00,BROOKLYN,11207.0,40.666256,-73.900215,,360 SNEDIKER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,
4521853,2022-04-24T00:00:00.000,15:35,MANHATTAN,10019.0,40.767242,-73.986206,WEST 56 STREET,,9 AVENUE,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,Station Wagon/Sport Utility Vehicle,Bike
4522228,2022-04-22T00:00:00.000,12:00,BROOKLYN,11230.0,40.62417,-73.97048,AVENUE J,,OCEAN PARKWAY,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Sedan,Pick-up Truck
4521702,2022-04-24T00:00:00.000,13:10,,,40.679955,-73.97491,SAINT MARKS AVENUE,,6 AVENUE,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Station Wagon/Sport Utility Vehicle,
4522167,2022-04-24T00:00:00.000,4:20,BROOKLYN,11221.0,40.692356,-73.94282,THROOP AVENUE,,DE KALB AVENUE,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4522196,2022-04-20T00:00:00.000,19:37,,,40.78291,-73.98578,HENRY HUDSON PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4521758,2022-04-24T00:00:00.000,16:14,,,40.67308,-73.91124,ROCKAWAY AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Sedan
4522136,2022-04-12T00:00:00.000,19:56,BROOKLYN,11203.0,40.65011,-73.930214,UTICA AVENUE,,SNYDER AVENUE,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,Station Wagon/Sport Utility Vehicle,
4521469,2022-04-24T00:00:00.000,0:30,,,40.638382,-74.03668,BELT PARKWAY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Sedan,Sedan
4521859,2022-04-24T00:00:00.000,20:13,QUEENS,11419.0,40.69261,-73.81143,,102-24 VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,,Sedan,
